GEO;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
BE;40134;39019;32676;38137;37261;37490;37787;37786;37990;37942
BG;10179;10441;8393;7818;8422;8267;8511;8706;8946;8910
CZ;24173;24346;21821;21793;22494;22377;21349;22190;22806;23204
DK;9894;9564;8398;8514;8648;8543;8359;8214;8373;8427
DE;239307;234966;202021;224530;229805;226239;224269;228773;224880;226598
EE;2392;2335;1941;2095;2046;2187;2156;2117;2059;2152
IE;8478;7977;8598;9104;9484;9161;9287;9396;9844;10143
EL;15328;15485;14067;14142;14640;11573;11366;12869;12668;11285
ES;97292;94190;76796;73490;73451;72466;70828;71657;76045;77899
FR;132599;128644;111722;117444;120643;120006;118649;117293;116450;116971
HR;3774;3792;3392;3478;3349;3039;3148;3291;3429;3426
IT;146170;141646;120607;127868;128076;120323;114981;112918;112665;113257
CY;602;635;591;579;529;485;462;463;459;486
LV;1816;1685;1506;1590;1670;1993;1808;1667;1703;1667
LT;3081;2795;2430;2654;2768;2908;2986;3119;3313;3417
LU;3577;3602;3099;3625;3577;3206;3053;3075;3063;3406
HU;9471;9905;8561;9784;9878;14802;14840;14696;15403;15963
MT;530;558;509;397;403;403;404;406;415;411
NL;42539;42198;36814;39460;39393;35180;34974;33289;34247;35740
AT;25666;24749;23882;25835;26401;26549;26466;25196;25274;25693
PL;45349;43812;39389;41452;44132;44714;47290;47585;49482;51210
PT;17991;17617;16173;17468;16957;15932;15993;15395;15481;15083
RO;22837;22987;18183;20381;21083;20405;18823;19855;20525;20817
SI;7468;6311;4966;5487;5864;5922;5878;6057;6199;6234
SK;12186;12562;10768;10927;11241;11908;11785;12237;11605;12085
FI;46763;43202;36164;40360;39241;38165;38697;38173;37893;38517
SE;57983;57664;51431;54386;53802;54077;52014;50730;50281;50289
UK;113085;114283;99860;104668;102531;98579;97067;93157;93014;91916
IS;8806;13056;13502;13498;13868;14201;14678;14682;15129;14840
LI;:;:;:;:;:;:;:;:;:;:
NO;49658;50656;41289;44524;44195;43492;43348;44446;45012;45756
CH;:;:;:;:;:;:;:;:;:;:
ME;2758;2502;1694;1853;2162;1855;1326;760;767;660
MK;2450;2412;1562;2010;2506;2206;2261;2221;1976;1591
AL;655;802;830;1039;1052;1192;1389;1466;1245;1272
RS;6750;7066;6772;7287;7473;6931;7079;7042;7297;7731
TR;71450;72534;68504;77295;85874;90275;91384;95844;101031;105491
BA;0;0;0;0;0;0;0;3910;3999;4079
XK;928;1146;1100;1153;1288;1255;1255;1311;1368;1048
MD;0;0;0;788;815;845;872;906;773;751
UA;69169;67144;55860;65911;62890;63101;58584;54401;49963;49941
GE;:;:;:;:;:;:;:;:;:;2902
