GEO;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
BE;1675;1723;1762;1736;1631;1581;1686;1569;1585;1631
BG;451;425;467;399;367;302;277;306;352;354
CZ;2292;2133;2045;1629;1606;1614;1592;1559;1609;1636
DK;356;378;395;404;397;385;386;385;397;417
DE;12275;11137;11633;12119;12151;12084;11985;11594;11279;11739
EE;77;80;90;89;80;79;63;50;47;48
IE;51;54;45;46;45;46;43;40;43;49
EL;251;239;232;183;184;189;267;343;388;329
ES;2765;3120;2985;3222;4515;4455;4552;4159;6072;5389
FR;10028;10420;10079;10037;10810;11001;11124;10828;10987;10784
HR;277;276;267;267;261;249;238;231;245;251
IT;10404;10839;10535;10666;10793;10759;10775;10463;10856;11162
CY;0;0;0;0;0;0;0;0;0;0
LV;140;138;121;126;124;129;124;117;106;105
LT;70;83;77;76;74;75;74;63;67;72
LU;118;113;112;120;129;129;129;124;124;151
HU;1222;1194;1201;1106;1117;983;1227;1156;1171;1177
MT;0;0;0;0;0;0;0;0;0;0
NL;1590;1624;1678;1756;1741;1763;1750;1716;1752;1871
AT;3479;3464;3296;3212;3132;3066;3109;3066;3114;3129
PL;3679;3544;3220;3338;3317;3200;3156;3007;3107;3287
PT;498;502;483;475;404;401;301;302;308;385
RO;1463;1439;1383;1355;1424;1228;1126;1062;1082;1048
SI;195;196;156;173;164;159;154;136;152;166
SK;586;550;503;538;536;560;567;574;602;607
FI;724;734;716;740;730;737;733;722;703;708
SE;2929;2372;2438;2404;2640;2685;2750;2615;2595;2664
UK;3961;3943;4040;4067;4205;4480;4352;4505;4516;4669
IS;0;0;0;0;0;1;2;4;19;61
LI;:;:;:;:;:;:;:;:;:;:
NO;639;684;660;570;545;622;632;654;821;970
CH;:;:;:;:;:;:;:;:;:;:
ME;24;22;18;22;13;15;20;18;20;21
MK;30;31;27;20;17;17;17;19;17;14
AL;0;0;0;0;0;0;0;0;0;0
RS;255;264;502;224;529;492;478;336;351;352
TR;935;960;556;591;657;799;826;916;1062;1156
BA;0;0;0;0;0;0;0;80;91;73
XK;0;0;0;0;0;0;0;0;0;0
MD;0;0;0;46;50;54;59;47;49;62
UA;10505;10678;9144;8972;9887;9279;8690;8072;6807;6796
GE;:;:;:;:;:;:;:;:;:;300
